File prefix,Document,Country,NSS/WP/DD,ISO Alpha-3 Code,M49 code,Year,Length,segment_count,word_count,Language 1,Language 2,Language 3,Language 4,Language 5,Language 6,Language 7,Language 8,Language 9,Language 10,Language 11,Publishing Ministry,URL Link to Docs,G77 Member,G77_Member_Binary
568,568 Netherlands Security Strategy 2023,Netherlands,NSS,NLD,528,2023,47,1207,25734,English,,,,,,,,,,,Central Government,https//www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiH_-_qvqWCAxVzSkEAHc-hAAwQFnoECCMQAQ&url=https%3A%2F%2Fwww.government.nl%2Fbinaries%2Fgovernment%2Fdocumenten%2Fpublications%2F2023%2F04%2F03%2Fsecurity-strategy-for-the-kingdom-of-the-netherlands%2FSecurity%2BStrategy%2Bfor%2Bthe%2BKingdom%2Bof%2Bthe%2BNetherlands.pdf&usg=AOvVaw3Z_q0IaSrHkeRJAhxicQ8c&opi=89978449,No,0
567,567 Greece White Paper 2014,Greece,WP,GRC,300,2014,144,878,26284,Greek,English,,,,,,,,,,Ministry Of Defence,https://www.scribd.com/document/299641936/White-Paper-2014,No,0
566,566 Chile Libro de la Defensa Nacional 2010_translated,Chile,WP,CHL,152,2010,343,2481,75474,English (Translated),Spanish (Original),,,,,,,,,,Ministry of Defence,https://www.resdal.org/ultimos-documentos/libro-blanco-chile-2010.html,Yes,1
565,565 Central African Republic Plan National of Defense 2017_translated,Central African Republic,DD,CAF,140,2017,40,537,12470,English (Translated),French (Original),,,,,,,,,,Ministry of Defence,,Yes,1
564,564 Central African Republic National Reform Strategy in the Security Sector 2017_translated,Central African Republic,NSS,CAF,140,2017,29,545,8659,English (Translated),French (Original),,,,,,,,,,Ministry Of Defence,,Yes,1
561,561 Burkina Faso 2004_translated,Burkina Faso,NSS,BFA,854,2004,114,1206,28560,English (Translated),French (Original),,,,,,,,,,Ministry of Interior,https//mobile.interieur.gouv.fr/Archives/Archives-des-communiques-de-presse/2016-Communiques/Presentation-du-plan-securite-outre-mer-par-Bernard-Cazeneuve-et-George-Pau-Langevin,Yes,1
560,560 Republic of Moldova National Security Strategy 2023_translated,Moldova,NSS,MDA,298,2023,24,299,5596,English (Translated),Romanian (Original),,,,,,,,,,President,,No,0
559,559 Belgium Defense Master Plan 2003_translated,Belgium,DD,BEL,56,2003,23,326,6998,English (Translated),French (Original),,,,,,,,,,Ministry Of Defence,,No,0
558,558 Angola Strategic Concept of National Defense 2018_translated,Angola,NSS,AGO,24,2018,24,279,6729,English (Translated),Portuguese (Original),,,,,,,,,,Ministry Of Defence,,Yes,1
557,557 Liberia National Defense Strategy 2014,Liberia,DD,LBR,430,2014,13,175,4652,English,,,,,,,,,,,Ministry of Defense,https//mod.gov.lr/wp-content/uploads/2022/06/National-Defense-Strategy-2014.pdf,Yes,1
556,556 Georgia National Security Concept 2020_translated,Georgia,NSS,GEO,268,2020,31,424,10994,English (Translated),Georgian (Original),,,,,,,,,,National Security Council,https//nsc.gov.ge/en/CONCEPTUAL-DOCUMENTS/National-Security-Concept,No,0
555,555 French Guiana Local Security Plan 2017_translated,French Guiana,NSS,GUF,254,2017,42,308,8010,English (Translated),French (Original),,,,,,,,,,Devolved Government,https//www.guyane.gouv.fr/contenu/telechargement/9965/69330/file/Plan+de+s,No,0
